NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION_2024,POP_SQMI_2024,WHITE_2024,BLACK_2024,HISPANIC_2024,MULT_RACE_2024,AVE_HH_SZ_2024,HSE_UNITS_2024,VACANT_2024,OWNER_OCC_2024,RENTER_OCC_2024,ST,ST_ABBR,COUNTY,LOCATION,E_TOTPOP_2024,Households1,PeopleBelow150Poverty,PeopleWithHousingCostBurden,Disabledpop,Minoritypop,Speakenglishltw,novehiclepop,PercentBelow150Poverty,PercentWithHousingCostBurden,percent_unemployed,percent_disabled,percent_minority,percent_englishltw,percent_novehicle,EPL_POV150_2024,EPL_MEDIAN_HOUSEHOLD_INCOME_2024,EPL_LIMENG_2024,EPL_NOVEH_2024,ST_cats_per_HH,ST_dogs_per_HH,ST_pets_per_HH,NumberofEmployees_sum,NumberofEmployees_mean,SalesVolume_sum,SalesVolume_mean,N_clinics,emp_norm_hh,emp_norm_pets,percentile_norm_pets,percentile_sum,percentile_index,index_score,sales_norm_hh,sales_norm_pets,sales/employees,geometry
Autauga,Alabama,1,1,1001,59947,99.12861751677404,42822,12244,2289,3467,2.59,22917,2122,17660,5257,1,AL,Autauga,"Autauga County, Alabama",59480,24457,11780,4389,9425,16126,203,888,20.2,19.7,2.8,16.4,27.4,0.4,4,0.3675,0.3221,0.2345,0.2622,0.4636932,0.97812815,1.44182135,41,10.25,3019000,754750,4,1.7890648863289262,1.2408367280238473,0.6118358256442888,1.7981358256442888,0.7511931275851098,75.12,131736.26565431774,91367.95321717061,73634.14634146342,"c(-86.46423, -86.426512, -86.434879, -86.446734, 32.45935, 32.46097, 32.452939, 32.455809)"
Baldwin,Alabama,1,3,1003,246989,146.88809647707578,202133,19909,14276,15592,2.47,98574,33684,76497,22077,1,AL,Baldwin,"Baldwin County, Alabama",243473,125113,42088,21039,31878,41259,1741,2056,18.3,23.2,3.4,13.9,17.7,0.8,2.3,0.2065,0.2015,0.5355,0.0821,0.4636932,0.97812815,1.44182135,307,7.871794871794871,21733000,557256.4102564103,39,3.1144115081055856,2.1600536766261547,0.3149856824689787,1.3405856824689788,0.8876869233216672,88.77,220473.95865035403,152913.50669093232,70791.53094462541,"c(-87.494505, -87.684346, -87.681172, -87.639131, -87.614816, -87.550622, -87.692734, -87.670816, -87.653444, -87.633799, -87.68422, -87.706296, -87.726557, -87.87894, -87.885003, -87.884382, -87.880398, -87.886698, -87.903626, -87.896444, -87.897419, -87.8699, -87.88518, -87.88077, -87.909594, -87.908226, -87.855301, -87.846716, -87.827562, -87.853099, -87.853085, -87.748157, -87.706872, -87.720034, -87.743341, -87.657414, -87.791495, -87.782689, -87.800029, 30.375478, 30.311376, 30.321482, 30.287764, 
30.290876, 30.414495, 30.407066, 30.407292, 30.406526, 30.40621, 30.338826, 30.39206, 30.473811, 30.421958, 30.522876, 30.525727, 30.520508, 30.51514, 30.520172, 30.575164, 30.592113, 30.60348, 30.620939, 30.672625, 30.669462, 30.6237, 30.701937, 30.664765, 30.676015, 30.61996, 30.534729, 30.54521, 30.523296, 30.565452, 30.608584, 30.568856, 30.893266, 30.902146, 30.915545)"
Barbour,Alabama,1,5,1005,24643,27.225291553299776,10852,11423,1534,868,2.37,9128,2634,6229,2899,1,AL,Barbour,"Barbour County, Alabama",21583,11673,8248,2260,3970,13793,467,1058,37.7,25.1,5.8,18.1,55.4,2,11.7,0.9157,0.9325,0.6853,0.9345,0.4636932,0.97812815,1.44182135,19,3.8,1159000,231800,5,2.081507449605609,1.4436652984820966,0.5380209990454979,4.006020999045498,0.032771237671014954,3.28,126971.95442594215,88063.5832074079,61000,"c(-85.13241, -85.167216, -85.167147, -85.146885, -85.454074, 31.93942, 31.796994, 31.8436, 31.880574, 31.884151)"
Bibb,Alabama,1,7,1007,22130,35.31387066681264,16378,4378,766,889,2.67,7704,1429,6100,1604,1,AL,Bibb,"Bibb County, Alabama",20488,9046,6047,1671,4097,5731,61,544,29,23.2,8.7,19.6,25.8,0.3,7.5,0.867,0.8367,0.3032,0.4906,0.4636932,0.97812815,1.44182135,11,5.5,785000,392500,2,1.4278296988577364,0.9902958496610806,0.7028316894686605,3.20033168946866,0.22430798600063634,22.43,101895.1194184839,70671.11290763167,71363.63636363637,"c(-87.115634, -87.168918, 32.942383, 32.963064)"
Blount,Alabama,1,9,1009,59518,91.44846896637294,52460,716,6130,3671,2.66,22180,2738,17962,4218,1,AL,Blount,"Blount County, Alabama",58872,24677,13348,4186,9948,8463,1222,1047,22.9,19.4,6,17,14.3,2.2,4.8,0.4155,0.5376,0.7483,0.2459,0.4636932,0.97812815,1.44182135,54,9,3583000,597166.6666666666,6,2.4346257889990985,1.6885765972317572,0.4575246579700923,2.4048246579700923,0.52402163538021,52.4,161541.92966636608,112040.18422002568,66351.85185185185,"c(-86.408138, -86.467937, -86.46097, -86.616032, -86.810298, -86.580791, 34.098468, 33.953715, 33.963907, 33.90762, 33.852074, 34.007168)"
Bullock,Alabama,1,11,1011,10058,16.07725451611859,2293,6986,602,380,2.37,3688,891,2458,1230,1,AL,Bullock,"Bullock County, Alabama",8731,4541,4559,804,1078,8203,172,359,47.4,23.3,3.7,11.2,79.4,1.8,10.4,0.9971,0.9984,0.4168,0.9163,0.4636932,0.97812815,1.44182135,6,6,297000,297000,1,1.6268980477223427,1.128363127458435,0.6551065860642699,3.9837065860642698,0.035952911231307665,3.6,80531.45336225595,55853.97480919253,49500,"c(-85.689991, 32.144916)"
Butler,Alabama,1,13,1013,18630,23.934537585963504,9468,8327,316,413,2.41,7597,2288,5002,2595,1,AL,Butler,"Butler County, Alabama",18323,9835,6299,1607,3020,9326,12,359,33.8,22.5,6.8,16.2,49.1,0.1,5,0.903,0.9453,0.1572,0.5787,0.4636932,0.97812815,1.44182135,19,9.5,1085000,542500,2,2.500987231802027,1.7346027174601257,0.4371619471842189,3.021361947184219,0.2879414572064906,28.79,142819.53402658945,99054.9446549598,57105.26315789474,"c(-86.640626, -86.589575, 31.852665, 31.83223)"
Calhoun,Alabama,1,15,1015,116090,189.54407469897092,81706,25450,5388,4958,2.48,45015,8346,31654,13361,1,AL,Calhoun,"Calhoun County, Alabama",111531,53167,32247,10291,23123,34311,553,2490,28.7,23,6.9,20.2,29.5,0.5,5.6,0.7337,0.7861,0.3579,0.6535,0.4636932,0.97812815,1.44182135,163,10.1875,11984000,749000,16,3.621015217149839,2.5114173938053,0.24117085587018772,2.7723708558701876,0.3881641743557111,38.82,266222.3703210041,184643.10458504732,73521.47239263804,"c(-86.041103, -85.80025, -85.892459, -85.769099, -85.762017, -85.619289, -85.586378, -85.657517, -85.828001, -85.818695, -85.81958, -85.809181, -85.82053, -85.826062, -85.93177, 33.821515, 33.907671, 33.767566, 33.768035, 33.794288, 33.959008, 33.929656, 33.645853, 33.634486, 33.635798, 33.615407, 33.626741, 33.718512, 33.654077, 33.596826)"
Chambers,Alabama,1,17,1017,34192,56.65339862297547,18794,13131,1372,1184,2.5,13434,3001,9643,3791,1,AL,Chambers,"Chambers County, Alabama",33446,16427,9779,3037,7113,15818,88,916,28.8,23.1,3.6,20.8,45.7,0.3,7,0.7477,0.8873,0.1572,0.7658,0.4636932,0.97812815,1.44182135,21,7,1403000,467666.6666666667,3,1.5631978561857973,1.0841827638256274,0.6697422844416163,3.227742284441616,0.21094495704740693,21.09,104436.50439184159,72433.7341736836,66809.52380952382,"c(-85.40961, -85.20994, -85.188652, 32.882999, 32.848593, 32.850755)"
Cherokee,Alabama,1,19,1019,25443,42.40162328234301,23091,970,469,1055,2.47,10192,4510,8264,1928,1,AL,Cherokee,"Cherokee County, Alabama",25124,14687,6322,1986,5026,2320,227,324,25.6,19.9,4,20.3,9.3,0.9,3.2,0.5956,0.8087,0.5663,0.09,0.4636932,0.97812815,1.44182135,12,4,653000,217666.66666666666,3,1.1773940345368916,0.8166018865907984,0.7518294622971683,2.8124294622971684,0.3728921412663061,37.29,64069.85871271585,44436.75266198261,54416.666666666664,"c(-85.667588, -85.839633, -85.580573, 34.151056, 34.136619, 34.220897)"
